symbol,date,n_candidates,chosen,settle,rejected,rejected_settles,reason
6E,2022-01-14,4,id13562,1.1422,id12860|id12860|id13562,1.14|1.14|1.14,matches next day (roll already happened)
6E,2022-02-14,4,id28727,1.13025,id13562|id13562|id28727,1.13|1.13|1.13,matches next day (roll already happened)
6E,2022-11-14,4,id191026,1.03795,id1473|id1473|id191026,1.03|1.03|1.04,matches next day (roll already happened)
6E,2023-01-13,4,id25822,1.0851,id3941|id3941|id25822,1.08|1.08|1.09,matches next day (roll already happened)
6E,2023-02-13,4,id270958,1.0735,id25822|id25822|id270958,1.07|1.07|1.07,matches next day (roll already happened)
6E,2023-05-15,4,id11985,1.0896,id11985|id27871|id27871,1.09|1.09|1.09,matches next day (roll already happened)
6E,2023-06-16,4,id24261,1.0961,id24261|id11985|id11985,1.1|1.09|1.09,matches next day (roll already happened)
6E,2023-12-18,4,id42007387,1.09305,id306787|id306787|id42007387,1.09|1.09|1.09,matches next day (roll already happened)
6E,2024-01-12,4,id42002328,1.0972,id42007387|id42007387|id42002328,1.1|1.1|1.1,matches next day (roll already happened)
6E,2024-02-16,4,id156627,1.07895,id156627|id42002328|id42002328,1.08|1.08|1.08,matches next day (roll already happened)
6E,2024-10-11,4,id42003321,1.09555,id42001604|id42001604|id42003321,1.09|1.09|1.1,matches next day (roll already happened)
6E,2024-11-18,4,id147644,1.0602,id147644|id42003321|id42003321,1.06|1.06|1.06,matches next day (roll already happened)
6E,2025-02-14,4,id42272,1.0514,id42000603|id42000603|id42272,1.05|1.05|1.05,matches next day (roll already happened)
6E,2025-03-17,4,id42008406,1.09425,id42008406|id42272|id42272,1.09|1.09|1.09,matches next day (roll already happened)
6E,2025-09-15,4,id42002756,1.17895,id3624|id3624|id42002756,1.18|1.18|1.18,matches next day (roll already happened)
6E,2025-10-10,4,id42040878,1.1633,id42002756|id42002756|id42040878,1.16|1.16|1.16,matches next day (roll already happened)
6E,2025-12-15,4,id42007681,1.17705,id42007681|id4274|id4274,1.18|1.18|1.18,matches next day (roll already happened)
6E,2026-01-16,4,id42057506,1.16115,id42007681|id42007681|id42057506,1.16|1.16|1.16,matches next day (roll already happened)
6E,2026-02-13,4,id57062,1.1883,id42057506|id42057506|id57062,1.19|1.19|1.19,matches next day (roll already happened)
6J,2010-06-14,4,id8569,0.010941,id26517|id26517|id8569,0.01|0.01|0.01,matches next day (roll already happened)
6J,2010-09-13,4,id12943,0.011968,id12943|id8569|id8569,0.01|0.01|0.01,matches next day (roll already happened)
6J,2010-12-13,4,id9822,0.012013,id12943|id12943|id9822,0.01|0.01|0.01,matches next day (roll already happened)
6J,2011-06-13,4,id54554,0.012475,id54554|id97482|id97482,0.01|0.01|0.01,matches next day (roll already happened)
6J,2011-09-19,4,id4906,0.013089,id4906|id54554|id54554,0.01|0.01|0.01,matches next day (roll already happened)
6J,2011-12-19,4,id52767,0.012856,id4906|id4906|id52767,0.01|0.01|0.01,matches next day (roll already happened)
6J,2012-03-19,4,id17293,0.012,id17293|id52767|id52767,0.01|0.01|0.01,matches next day (roll already happened)
6J,2012-06-18,4,id86613,0.012654,id17293|id17293|id86613,0.01|0.01|0.01,matches next day (roll already happened)
6J,2013-12-16,4,id7641,0.009715,id7641|id7821|id7821,0.01|0.01|0.01,matches next day (roll already happened)
6J,2015-09-14,4,id173477,0.0083435,id173475|id173475|id173477,0.01|0.01|0.01,matches next day (roll already happened)
6J,2015-12-14,4,id173479,0.0082985,id173477|id173477|id173479,0.01|0.01|0.01,matches next day (roll already happened)
6J,2016-12-19,4,id173483,0.008561,id173496|id173496|id173483,0.01|0.01|0.01,matches next day (roll already happened)
6J,2017-02-24,2,id173483,0.008934,id173483,0.01,matches next day (roll already happened)
6J,2017-11-13,4,id173489,0.0088185,id287858|id287858|id173489,0.01|0.01|0.01,matches next day (roll already happened)
6J,2017-12-18,4,id153783,0.0089065,id153783|id173489|id173489,0.01|0.01|0.01,matches next day (roll already happened)
6J,2018-01-12,4,id167751,0.0090215,id167751|id153783|id153783,0.01|0.01|0.01,matches next day (roll already happened)
6J,2018-02-16,4,id173491,0.0094215,id167751|id167751|id173491,0.01|0.01|0.01,matches next day (roll already happened)
6J,2018-11-19,4,id193031,0.0089035,id185666|id185666|id193031,0.01|0.01|0.01,matches next day (roll already happened)
6J,2018-12-17,4,id197655,0.0088975,id193031|id193031|id197655,0.01|0.01|0.01,matches next day (roll already happened)
6J,2019-01-14,4,id197016,0.0092675,id197655|id197655|id197016,0.01|0.01|0.01,matches next day (roll already happened)
6J,2019-02-15,4,id649,0.009073,id197016|id197016|id649,0.01|0.01|0.01,matches next day (roll already happened)
6J,2019-10-11,4,id164468,0.0092355,id164468|id84695|id84695,0.01|0.01|0.01,matches next day (roll already happened)
6J,2019-11-18,4,id176722,0.0092175,id164468|id164468|id176722,0.01|0.01|0.01,matches next day (roll already happened)
6J,2019-12-16,4,id216476,0.009147,id176722|id176722|id216476,0.01|0.01|0.01,matches next day (roll already happened)
6J,2020-01-13,4,id5502,0.009114,id5502|id216476|id216476,0.01|0.01|0.01,matches next day (roll already happened)
6J,2020-02-14,4,id42854,0.009124,id42854|id5502|id5502,0.01|0.01|0.01,matches next day (roll already happened)
6J,2020-11-16,4,id108553,0.009564,id108553|id2560|id2560,0.01|0.01|0.01,matches next day (roll already happened)
6J,2021-01-15,4,id4826,0.009631,id4826|id25380|id25380,0.01|0.01|0.01,matches next day (roll already happened)
6J,2021-02-12,4,id2759,0.009528,id2759|id4826|id4826,0.01|0.01|0.01,matches next day (roll already happened)
6J,2021-04-19,4,id7171,0.0092525,id20281|id20281|id7171,0.01|0.01|0.01,matches next day (roll already happened)
6J,2021-05-17,4,id70058,0.009161,id70058|id7171|id7171,0.01|0.01|0.01,matches next day (roll already happened)
6J,2021-12-13,4,id13049,0.0088145,id13049|id86183|id86183,0.01|0.01|0.01,matches next day (roll already happened)
6J,2022-01-14,4,id13987,0.0087625,id13049|id13049|id13987,0.01|0.01|0.01,matches next day (roll already happened)
6J,2022-02-14,4,id28481,0.0086485,id13987|id13987|id28481,0.01|0.01|0.01,matches next day (roll already happened)
6J,2022-11-14,4,id191138,0.007177,id191138|id707|id707,0.01|0.01|0.01,matches next day (roll already happened)
6J,2022-12-19,2,id191138,0.007322,id191138,0.01,matches previous day (roll not yet)
6J,2023-01-13,4,id40152,0.0078475,id663|id663|id40152,0.01|0.01|0.01,matches next day (roll already happened)
6J,2023-02-13,4,id271216,0.0075775,id271216|id40152|id40152,0.01|0.01|0.01,matches next day (roll already happened)
6J,2023-05-15,4,id13265,0.007387,id13265|id5593|id5593,0.01|0.01|0.01,matches next day (roll already happened)
6J,2023-06-16,4,id57298,0.0070835,id57298|id13265|id13265,0.01|0.01|0.01,matches next day (roll already happened)
6J,2023-12-18,4,id42007693,0.007032,id306755|id306755|id42007693,0.01|0.01|0.01,matches next day (roll already happened)
6J,2024-01-12,4,id42000575,0.0069415,id42007693|id42007693|id42000575,0.01|0.01|0.01,matches next day (roll already happened)
6J,2024-02-16,4,id156657,0.0066875,id156657|id42000575|id42000575,0.01|0.01|0.01,matches next day (roll already happened)
6J,2024-10-11,4,id42025910,0.006738,id42001566|id42001566|id42025910,0.01|0.01|0.01,matches next day (roll already happened)
6J,2024-11-18,4,id146415,0.0064845,id146415|id42025910|id42025910,0.01|0.01|0.01,matches next day (roll already happened)
6J,2025-01-13,2,id42003657,0.0063555,id42003657,0.01,matches previous day (roll not yet)
6J,2025-02-14,4,id57969,0.006592,id42004779|id42004779|id57969,0.01|0.01|0.01,matches next day (roll already happened)
6J,2025-03-17,4,id42005593,0.0067245,id42005593|id57969|id57969,0.01|0.01|0.01,matches next day (roll already happened)
